,Kod,Name
61,28.49.23.195,Патроны токарные и планшайбы
62,28.12.12.126,Пневмотурбины
63,14.20.10.381,Жилеты мужские нагольные
64,01.62.10.140,Услуги по содержанию и уходу за сельскохозяйственными животными
65,28.29.12.131,Вакуум-фильтры жидкостные
66,26.20.99.000,"Операции процесса производства компьютеров и периферийного оборудования отдельные, выполняемые субподрядчиком"
67,14.20.10.271,"Костюмы мужские с верхом из хлопчатобумажных тканей, подкладка меховая"
68,17.12.14.122,Бумага чертежная
69,25.99.12,"Изделия столовые, кухонные и бытовые и их части из черных металлов, меди или алюминия"
70,26.51.43.145,"Частотомеры, фазометры и синхроноскопы лабораторные аналоговые"
71,10.20.15,Мясо рыбы (включая фарш) мороженое
72,31.09.12.133,Шкафы деревянные для столовой и гостиной
73,10.32.29.000,Продукция соковая прочая
74,20.14.12.160,Стирол
75,20.14.23.120,Спирты многоатомные
76,21.20.10.220,Препараты для лечения костно-мышечной системы
77,10.86.10.613,Сардельки вареные для детского питания
78,20.20.99,"Услуги по производству пестицидов и прочих агрохимических продуктов отдельные, выполняемые субподрядчиком"
79,20.59.56.160,"Алкилбензолы смешанные, не включенные в другие группировки"
80,22.22.1,Изделия пластмассовые упаковочные
81,21.20.10.231,Анестетики
82,10.11.9,"Услуги по переработке и консервированию мяса отдельные, выполняемые субподрядчиком"
83,46.22.10,Услуги по оптовой торговле цветами и растениями
84,52.24.13.000,Услуги по обработке грузов в портах прочие
85,79.9,Услуги по бронированию и взаимосвязанные услуги прочие
86,23.12.12.130,Стеклопакеты для наземного транспорта
87,26.60.12.121,Приборы для измерения биоэлектрических потенциалов
88,26.60.12.124,Приборы для измерения объема и газового состава вдыхаемого и выдыхаемого воздуха и крови
89,26.70.21.120,"Линзы, призмы, зеркала и элементы оптические прочие (кроме изготовленных из стекла неоптического) в сборе и не в сборе, кроме предназначенных для камер, проекторов или фотоувеличителей, или фотоуменьшителей"
90,13.10.92,Сырье расщипанное и прочие отходы хлопка
91,27.12.23,"Устройства защиты электрических цепей на напряжение не более 1 кВ, не включенные в другие группировки"
92,24.10.12.110,Ферросилиций
93,24.10.11.130,Чугун литейный
94,27.51.21,Приборы бытовые электромеханические со встроенным электродвигателем
95,27.90.13.129,"Электроды угольные и изделия из графита и других видов углерода электротехнические прочие, не включенные в другие группировки"
96,28.12.12.121,Пневмомоторы шестеренные
97,01.43.10.310,Ослы чистопородные племенные
98,24.33.12,Профили незамкнутые холодной штамповки или гибки из нержавеющих сталей
99,24.42.12.000,"Оксид алюминия (глинозем), кроме искусственного корунда"
100,01.49.19.451,"Олени дикие (дикие северные олени, благородные олени, пятнистые олени), лани, косули, лоси, серны, кабаны, овцебыки, муфлоны, сайгаки, козлы горные, туры, бараны снежные, гибрид зубра с бизоном, домашним скотом"
101,28.22.18.130,Механизмы для перемещения локомотивов или вагонов
102,14.19.32.120,Одежда из нетканых материалов
103,28.30.32.120,Скарификаторы
104,24.45.22.130,Проволока никелевая
105,14.19.42.159,Уборы головные швейные прочие женские или для девочек
106,28.49.21.120,Головки резьбонарезные самораскрывающиеся для станков
107,25.73.40.166,Пластины запасные механические закрепляемые
108,16.22.9,"Услуги по производству полов паркетных отдельные, выполняемые субподрядчиком"
109,26.51.43.111,Амперметры цифровые
110,26.11.11.190,Трубки электронно-лучевые прочие
111,17.12.60.190,Бумага глазированная прозрачная или полупрозрачная прочая
112,19.20.21.145,Бензин автомобильный с октановым числом более 98 по исследовательскому методу экологического класса К5
113,26.40.20.110,Приемники телевизионные (телевизоры) цветного изображения с устройствами записи и воспроизведения звука и изображения
114,07.21.10.129,Руды и концентраты ториевые прочие
115,10.11.50.112,Жир технический крупного рогатого скота
116,10.11.16.130,"Оленина и мясо прочих животных семейства оленьих (оленевых) парные, остывшие или охлажденные для детского питания"
117,20.13.31.000,Галогениды металлов
118,20.14.33.162,Соли сорбиновой кислоты
119,33.14.11,"Услуги по ремонту и техническому обслуживанию электродвигателей, генераторов, трансформаторов и распределительной и регулирующей аппаратуры для электричества"
120,33.12.25,"Услуги по ремонту и техническому обслуживанию оборудования для производства пищевых продуктов, напитков и табачных изделий"
121,33.15.1,Услуги по ремонту и техническому обслуживанию судов и лодок
122,33.17,Услуги по ремонту и техническому обслуживанию прочих транспортных средств и обо рудования
123,33.20,Услуги по монтажу промышленных машин и оборудования
124,10.84.12,Соусы; приправы и пряности смешанные; мука и порошок горчичные; горчица готовая
125,20.59.51.110,Пептоны и их производные
126,10.89.19.290,"Продукты пищевые прочие, не включенные в другие группировки"
127,46.73.16,Услуги по оптовой торговле прочими строительными материалами и изделиями
128,46.51.1,"Услуги по оптовой торговле компьютерами, компьютерными периферийными устройствами и программным обеспечением"
129,46.64.10.000,"Услуги по оптовой торговле машинами и оборудованием для текстильного, швейного и трикотажного производств"
130,50.40.13,Услуги по перевозке прочих жидкостей и газов внутренним водным транспортом с помощью судов-танкеров
131,51.10.2,Услуги по аренде пассажирских воздушных судов с экипажем
132,51.21.20,Услуги по аренде грузовых воздушных судов с экипажем
133,50.10.12.000,Услуги по заграничным и каботажным перевозкам пассажиров круизными судами
134,52.10.11.000,Услуги по хранению замороженных и охлажденных грузов
135,47.53.30,Услуги по розничной торговле обоями и напольными покрытиями в специализированных магазинах
136,52.24.13,Услуги по обработке грузов в портах прочие
137,86.90.19.120,Услуги организаций судебно-медицинской экспертизы
138,53.10.12.000,"Услуги почтовой связи общего пользования, связанные с письменной корреспонденцией"
139,13.20.20.119,Ткани хлопчатобумажные бытовые прочие
140,27.32.13.143,Кабели контрольные
141,56.10.19.120,"Услуги, предоставляемые заведениями типа кафе-мороженое и кондитерскими"
142,13.92.24.121,Одеяла стеганые пуховые с верхом из хлопчатобумажных тканей для детей
143,14.14.25.120,"Пояса, корсеты, бандажи и их части из любого текстильного материала (включая три котажные или вязаные)"
144,24.34.13.140,Проволока наплавочная из прочей легированной стали
145,01.47.12.110,Индейки живые взрослые
146,24.44.24.120,"Полосы и ленты из меди толщиной более 0,15 мм"
147,28.23.2,Оборудование офисное и его части
148,24.45.30.427,"Зола и остатки, содержащие сурьму, бериллий, кадмий, хром или их смеси"
149,02.20.11.180,Хлысты хвойных пород
150,14.31.10.162,Чулки детские из шерстяной пряжи
151,25.40.12.310,Оружие самообороны
152,28.30.53.000,"Прессы для соломы или сена, включая пресс-подборщики"
153,16.10.21.122,Пиломатериалы профилированные из бука
154,26.40.99.000,"Услуги по производству бытовой электронной техники отдельные, выполняемые субподрядчиком"
155,20.14.71.140,"Масло талловое, рафинированное и нерафинированное"
156,26.51.64.140,Спидометры
157,26.51.52.190,Приборы для измерения или контроля прочих переменных характеристик жидкостей и газов
158,20.13.11.120,Плутоний и его соединения
159,19.30.1,Продукция агломерации угля
160,20.14.33.411,Кислота щавелевая
161,33.15,Услуги по ремонту и техническому обслуживанию судов и лодок
162,20.15.75,"Удобрения, содержащие два питательных элемента: фосфор и калий"
163,33.16.10,Услуги по ремонту и техническому обслуживанию летательных и космических аппаратов
164,10.62.14.110,"Масло кукурузное и его фракции, нерафинированные"
165,33.20.33.000,Услуги по монтажу промышленных машин и оборудования для металлургии
166,33.20.3,Услуги по монтажу оборудования специального назначения
167,33.20.21,Услуги по монтажу офисных и счетных машин
168,21.20.24.170,Аптечки и сумки санитарные для оказания первой помощи
169,38.11.39.000,"Отходы неопасные прочие, непригодные для повторного использования"
170,22.19.60.119,Перчатки резиновые прочие
171,01.42.12.114,"Телята волов живые, кроме племенных"
172,47.25.20,Услуги по розничной торговле безалкогольными напитками в специализированных магазинах
173,58.19.29.000,"Публикации электронные прочие, не включенные в другие группировки"
174,59.20.21,Услуги по производству радиопрограмм
175,59.20.32.129,Партитуры прочей инструментальной музыки в электронной форме
176,59.20.31.110,Издания нотные печатные с записью вокальной музыки
177,94.92.1,"Услуги, предоставляемые политическими организациями"
178,77.40.11,Услуги по предоставлению лицензий на право использования продуктов научных исследований и экспериментальных разработок
179,58.14.12.000,"Бизнес-журналы, профессиональные и академические журналы и периодические издания"
180,78.20.12.000,Услуги агентств по временному трудоустройству по обеспечению прочим офисным вспомогательным персоналом
181,88.99.19.000,"Услуги социальные без обеспечения проживания прочие, не включенные в другие группировки"
182,42.21.1,Коммуникации инженерные для жидкостей и газов
183,11.05.20.122,Отходы плодового виноделия
184,23.13.11.114,"Бутылки стеклянные для крови, трансфузионных и инфузионных препаратов"
185,23.13.11.111,Бутылки стеклянные для алкогольной и безалкогольной пищевой продукции
186,13.10.50.330,Пряжа из конского волоса
187,23.14.99.000,"Услуги по производству стекловолокна отдельные, выполняемые субподрядчиком"
188,23.14.12.140,Плиты из стекловолокна
189,23.19.22.130,Сферы стеклянные полые и их сегменты для изготовления таких стекол
190,23.19.26.000,"Изделия из стекла, не включенные в другие группировки"
191,26.52.25.000,"Механизмы часовые, укомплектованные несобранные, неукомплектованные и предварительно грубо собранные для часов, не предназначенных для ношения на себе или с собой"
192,01.11.11.111,Зерно озимой твердой пшеницы
193,23.65.12.122,Трубы и муфты асбестоцементные безнапорные
194,01.19.31.110,Семена кормовой свеклы
195,13.20,Ткани текстильные
196,01.19.31.130,Семенники кормовых корнеплодов
197,01.23.14,"Мандарины, включая танжерины, клементины и аналогичные гибриды цитрусовых культур"
198,01.19.39.000,"Сырье растительное, не включенное в другие группировки"
199,27.90.33,"Части прочего электрического оборудования; электрические части машин или аппаратов, не включенные в другие группировки"
200,01.45.11.232,"Матки полугрубошерстных пород, кроме взрослых чистопородных племенных овец"
201,28.12.11.123,Пневмоцилиндры плунжерные
202,14.19.42.111,Шляпы фетровые мужские
203,14.19.43.119,Уборы головные мужские или для мальчиков меховые комбинированные с другими материалами
204,01.45.11.251,"Бараны-производители каракульских и смушковых, кроме взрослых чистопородных племенных овец"
205,14.20.10.112,Пальто женские с верхом из натурального меха
206,14.19.43.160,"Повязки головные, подкладки, чехлы, каркасы шляпные, основы шляпные, козырьки и ремни подбородочные для головных уборов"
207,24.52.20.000,Трубы и трубки центробежнолитые стальные
208,15.11.10.240,"Овчина меховая и шубная выделанная целая, с головой, хвостом или лапами или без них, несобранная"
209,15.11.10.252,Клям
210,15.12.13.110,Ремешки (кроме металлических) для наручных часов
211,15.20.11.129,"Обувь из полимерных материалов прочая, не включенная в другие группировки"
212,28.92.12.130,Машины бурильные
213,25.92.9,"Услуги по производству легкой металлической тары отдельные, выполняемые субподрядчиком"
214,25.93.14.111,Гвозди строительные
215,18.13.3,"Услуги дополнительные, связанные с печатанием"
216,25.73.30.176,Головки сменные и принадлежности к ним в наборах и россыпью
217,26.51.70.120,Стабилизаторы давления
218,29.32.10,Сиденья для автотранспортных средств
219,19.30,Продукция агломерации угля
220,20.13.51.114,Молибдаты
221,20.14.12.213,Дифенилметан
222,38.11.1,"Услуги по сбору неопасных отходов, пригодных для повторного использования"
223,20.14.33.323,Эфиры фенилуксусной кислоты сложные
224,20.16.30.113,Сополимеры винилхлорида в первичных формах
225,10.89.19,"Продукты пищевые прочие, не включенные в другие группировки"
226,10.91.20.120,Гранулы из люцерны
227,21.20.10.239,Препараты для лечения заболеваний нервной системы прочие
228,21.20.10.169,Препараты для лечения заболеваний кожи прочие
229,21.20.22.000,Средства химические контрацептивные на основе гормонов или сперматоцидов
230,21.20.21.139,"Вакцины прочие, применяемые в ветеринарии"
231,22.19.73.140,Покрытия и маты (коврики) из вулканизированной пористой резины напольные
232,22.19.40.110,Ленты конвейерные резинотканевые
233,10.31.91,Услуги по тепловой обработке и прочим способам переработки картофеля и продуктов из картофеля
234,10.72.11.110,Изделия хлебобулочные бараночные
235,10.71.12.190,"Сладости восточные и прочие изделия мучные кондитерские, не включенные в другие группировки"
236,43.33.29,"Работы по устройству покрытий полов и стен, включая работы обойные, прочие, не включенные в другие группировки"
237,47.29.33,Услуги по розничной торговле сахаром в специализированных магазинах
238,94.99.15.120,Услуги детских общественных объединений
239,47.29.21.000,Услуги по розничной торговле животными маслами и жирами в специализированных магазинах
240,49.20.14.000,Услуги железнодорожного транспорта по перевозке контейнеров для смешанной перевозки
241,50.20.21.120,Услуги по аренде морских судов каботажного плавания для перевозки грузов с экипажем
242,51.10.20,Услуги по аренде пассажирских воздушных судов с экипажем
243,56.29.20.140,Услуги столовых для личного состава вооруженных сил
244,58.14.32.000,Место для рекламы в электронных журналах и периодических изданиях
245,74.90.12.110,"Услуги посреднические по организации покупки и продажи малых или средних коммерческих предприятий, включая профессиональную практику"
246,42.99.11.190,"Объекты специализированные для обрабатывающей промышленности, не включенные в другие группировки"
247,43.13.10.190,Работы разведочные буровые прочие
248,13.10.29.130,"Волокна рами, подготовленные для прядения"
249,13.10.61.113,Пряжа хлопчатобумажная аппаратного прядения меланжевая
250,13.10.50.233,"Пряжа чистошерстяная крученая аппаратного прядения суровая, не расфасованная для розничной продажи"
251,23.69.99.000,"Услуги по производству прочих изделий из гипса, бетона или цемента отдельные, выполняемые субподрядчиком"
252,13.10.81,"Пряжа из химических комплексных нитей, однониточная или крученая (кроме швейных ниток, высокопрочной пряжи из полиамидных, полиэфирных или вискозных волокон), не расфасованная для розничной продажи; пряжа из химических комплексных нитей (кроме швейных ниток), расфасованная для розничной продажи"
253,01.25.11,Киви
254,27.31.11.000,"Кабели волоконно-оптические, состоящие из волокон с индивидуальными оболочками"
255,01.24.22,Айва
256,24.10.32,"Прокат листовой горячекатаный из нелегированных сталей, без дополнительной обработки, шириной менее 600 мм"
257,24.10.71.112,Уголки стальные горячекатаные неравнополочные из нелегированных сталей
258,28.12.99.000,"Услуги по производству гидравлического и пневматического силового оборудования отдельные, выполняемые субподрядчиком"
259,02.10.11.110,Сеянцы деревьев хвойных пород
260,14.12.99,Услуги по производству спецодежды
261,01.42.13,Молодняк крупного рогатого скота и буйволов живой
262,14.20.10.122,Полупальто женские с верхом из натурального меха
263,14.20.10.230,"Полупальто с верхом из хлопчатобумажных тканей, подкладка меховая"
264,28.25.20.112,Вентиляторы радиальные
265,25.7,"Изделия ножевые, инструмент и универсальные скобяные изделия"
266,02.20.12.114,Бревна березовые для распиловки и строгания
267,28.91.12,Части машин для металлургии; части прокатных станов
268,03.11.12.190,Рыба морская прочая живая
269,03.12.12.119,Рыба лососевая дальневосточная прочая живая
270,25.93.12.110,Проволока колючая из черных металлов
271,25.73.30.150,Инструмент режущий ручной
272,03.12.12.123,Семга живая
273,28.93.11.000,Сепараторы-сливкоотделители центробежные
274,06.10,Нефть сырая
275,03.22.10.280,"Лосось живой, являющийся продукцией рыбоводства"
276,28.93.13.129,"Оборудование технологическое для мукомольных предприятий прочее, не включенное в другие группировки"
277,17.12.20.120,Вата целлюлозная
278,25.99.22.120,Лотки для ручек металлические
279,29.10.59.310,"Средства транспортные, оснащенные кранами-манипуляторами"
280,17.21.99,"Услуги по производству ящиков и коробок из гофрированной бумаги или гофрированного картона отдельные, выполняемые субподрядчиком"
281,19.20.21.120,"Бензин автомобильный с октановым числом более 92, но не более 95 по исследовательскому методу"
282,26.40.52.000,Части радиоприемной и радиопередающей аппаратуры
283,19.20.32,"Этилен, пропилен, бутилен, бутадиен и прочие нефтяные газы или газообразные углеводороды, кроме природного газа"
284,20.13.31,Галогениды металлов
285,10.41.12.110,Жиры и масла и их фракции из рыбы
286,32.40.11.182,Фигурки людей металлические электромеханические (с микроэлектродвигателями)
287,32.40.39.138,"Предметы игрового обихода пластмассовые механические (заводные, инерционные, пружинные, рычажные)"
288,32.50.22.125,"Корсеты, реклинаторы, обтураторы"
289,32.99.24.110,Формы для пуговиц и прочие детали пуговиц
290,32.99.13.123,Фломастеры
291,20.51.14.190,"Средства пиротехнические прочие, кроме фейерверков"
292,38.11.3,"Отходы неопасные, непригодные для повторного использования, собранные"
293,38.32.29.490,"Лом и отходы прочих недрагоценных металлов, не включенных в другие группировки"
294,39.00.21,"Услуги по локализации зараженных участков, контролю и наблюдению, и прочие услуги по реабилитации загрязненных участков"
295,10.86.10.320,Детские травяные напитки
296,22.19.73.115,Чехлы защитные резиновые
297,10.86.10.511,Консервы на рыбной основе гомогенизированные для детского питания
298,10.62.11.112,Крахмал кукурузный
299,22.21.21.110,Оболочки искусственные из отвержденных протеинов или целлюлозных материалов
300,10.92.10.212,Влажный корм животного происхождения для кошек
301,14.12.99.200,Услуги по пошиву производственной одежды по индивидуальному заказу населения
302,92.21.10.000,Услуги организаторов лотерей
303,46.72.14,Услуги по оптовой торговле цветными металлами в первичных формах
304,45.11.11,Услуги по оптовой торговле пассажирскими автотранспортными средствами
305,47.62.10.000,Услуги по розничной торговле газетами и журналами в специализированных магазинах
306,51,Услуги воздушного и космического транспорта
307,47.91.2,"Услуги по розничной торговле, осуществляемые непосредственно при помощи информационно-коммуникационной сети Интернет"
308,52.10.13.000,Услуги по хранению зерна
309,13.10.4,Пряжа шелковая и пряжа из шелковых отходов
310,23.20.99.000,"Услуги по производству огнеупорных изделий отдельные, выполняемые субподрядчиком"
311,56.29.20.190,Услуги прочих столовых
312,26.70.11.130,Объективы для проекторов
313,13.10.50.124,"Пряжа полушерстяная (смешанная) крученая гребенного прядения крашеная, расфасованная для розничной продажи"
314,23.41.11.130,Изделия туалетные из фарфора
315,27.11.43.000,Трансформаторы прочие мощностью более 16 кВА
316,01.11.33,Овес
317,27.32.13.155,Провода связи телефонные распределительные и радиотрансляционные
318,13.92.11.110,Одеяла (кроме электрических одеял)
319,23.52.10,"Известь негашеная, гашеная и гидравлическая"
320,01.23.12.000,Лимоны и лаймы
321,28.12.15,Установки гидравлические
322,14.12.12.130,Бриджи и шорты мужские производственные и профессиональные
323,14.14.11,Рубашки мужские или для мальчиков трикотажные или вязаные
324,14.13.14.180,Бриджи и шорты женские или для девочек трикотажные или вязаные
325,28.15.10.113,Подшипники качения шариковые радиальные сферические двухрядные
326,28.15.24.112,Редукторы планетарные
327,01.62.10.170,"Услуги, связанные с искусственным осеменением"
328,14.20.10.462,"Полупальто женские с верхом из хлопчатобумажных тканей, подкладка из шубной овчины"
329,25.11.10.000,Здания сборные из металла
330,28.25.14.122,Фильтры электростатические
331,25.71.14.140,"Ложки, вилки, половники, шумовки, лопаточки для тортов, ножи для рыбы, ножи для масла, щипцы для сахара и аналогичные кухонные и столовые приборы из алюминия"
332,28.12.20.000,Части гидравлического и пневматического силового оборудования
333,15.11.10.140,"Шкурки бобра меховые выделанные целые, с головой, хвостом или лапами или без них, несобранные"
334,28.41.33.120,Машины и молоты штамповочные
335,03.11.20.125,Хек свежий или охлажденный
336,03.11.63.190,Водоросли прочие
337,16.10.10.143,Брусья переводные деревянные клееные для железных дорог широкой колеи непропитанные
338,15.12.1,"Изделия шорно-седельные и упряжь; чемоданы, сумки дамские и аналогичные изделия; прочие изделия из кожи"
339,25.73.30.240,Инструмент контрольно-разметочный
340,03.21.41.000,"Устрицы живые, свежие или охлажденные, являющиеся продукцией рыбоводства"
341,29.10.30.110,Автобусы
342,26.51.41,Приборы и аппаратура для измерения или обнаружения ионизирующих излучений
343,19.20.21.340,Топливо дизельное межсезонное
344,30.11.31.115,Суда китобойные
345,18.13.20.120,"Цилиндры, используемые для печати"
346,29.10.30.190,Средства автотранспортные пассажирские с числом мест для сидения не менее 10 прочие
347,19.20.21.420,"Топливо судовое с массовой долей серы 1,5 - 2 % с температурой вспышки в закрытом тигле не ниже 61[0*] С"
348,20.13.21.160,Бор
349,30.20.33.118,Вагоны-платформы железнодорожные
350,20.13.23.132,Лантан металлический
351,10.41.19,"Жиры и масла животные прочие и их фракции, нерафинированные или рафинированные, но не подвергнутые химической модификации"
352,20.13.65.112,Соединения скандия
353,32.30.16.126,Шнуры рыболовные
